gpu,bench,batch_size,fail,n,ngpu,perf,sem%,std%,peak_memory,score,weight
NVIDIA-A100-SXM4-40GB,bert-tf32-fp16,000000036,0,1,1,265.77,0.2%,1.3%,nan,265.77,3.00
NVIDIA-A100-SXM4-40GB,bert-tf32-fp16,000000046,0,1,1,270.26,0.3%,1.6%,nan,270.26,3.00
NVIDIA-A100-SXM4-40GB,bert-tf32-fp16,000000068,0,1,1,284.72,0.1%,0.5%,nan,284.72,3.00
NVIDIA-A100-SXM4-40GB,bert-tf32-fp16,000000080,0,1,1,289.72,0.1%,0.6%,1316,289.72,3.00
NVIDIA-A100-SXM4-40GB,bert-tf32-fp16,000000086,0,1,1,290.00,0.1%,0.7%,nan,290.00,3.00
NVIDIA-A100-SXM4-40GB,bert-tf32-fp16,000000090,0,1,1,294.18,0.0%,0.2%,2035,294.18,3.00
NVIDIA-A100-SXM4-40GB,brax,000110592,0,1,1,359178.99,0.1%,0.3%,31434,359178.99,1.00
NVIDIA-A100-SXM4-40GB,brax,000129024,0,1,1,358738.79,0.2%,0.4%,31434,358738.79,1.00
NVIDIA-A100-SXM4-40GB,brax,000138240,0,1,1,360401.91,0.1%,0.3%,31436,360401.91,1.00
NVIDIA-A100-SXM4-40GB,brax,000142848,0,1,1,359318.45,0.1%,0.3%,31436,359318.45,1.00
NVIDIA-A100-SXM4-40GB,brax,000147456,0,1,1,362575.85,0.1%,0.1%,31297,362575.85,1.00
NVIDIA-A100-SXM4-40GB,brax,000016384,0,1,1,355205.09,0.1%,0.4%,5780,355205.09,1.00
NVIDIA-A100-SXM4-40GB,brax,000016896,0,1,1,356276.01,0.1%,0.4%,5782,356276.01,1.00
NVIDIA-A100-SXM4-40GB,brax,000002048,0,1,1,339901.37,0.1%,0.4%,2196,339901.37,1.00
NVIDIA-A100-SXM4-40GB,brax,000021504,0,1,1,356847.41,0.0%,0.3%,6294,356847.41,1.00
NVIDIA-A100-SXM4-40GB,brax,000024576,0,1,1,358002.03,0.1%,0.4%,10390,358002.03,1.00
NVIDIA-A100-SXM4-40GB,brax,000025344,0,1,1,357784.08,0.1%,0.4%,10388,357784.08,1.00
NVIDIA-A100-SXM4-40GB,brax,000028672,0,1,1,358453.35,0.1%,0.4%,10388,358453.35,1.00
NVIDIA-A100-SXM4-40GB,brax,000030720,0,1,1,358504.19,0.1%,0.4%,10388,358504.19,1.00
NVIDIA-A100-SXM4-40GB,brax,000031232,0,1,1,358158.82,0.1%,0.3%,10388,358158.82,1.00
NVIDIA-A100-SXM4-40GB,brax,000032256,0,1,1,358440.26,0.1%,0.3%,10388,358440.26,1.00
NVIDIA-A100-SXM4-40GB,brax,000032768,0,1,1,358829.31,0.1%,0.4%,10388,358829.31,1.00
NVIDIA-A100-SXM4-40GB,brax,000033792,0,1,1,357584.35,0.1%,0.4%,10390,357584.35,1.00
NVIDIA-A100-SXM4-40GB,brax,000036864,0,1,1,359238.69,0.1%,0.3%,10390,359238.69,1.00
NVIDIA-A100-SXM4-40GB,brax,000037632,0,1,1,359051.34,0.0%,0.2%,10390,359051.34,1.00
NVIDIA-A100-SXM4-40GB,brax,000004096,0,1,1,348632.03,0.1%,0.5%,2710,348632.03,1.00
NVIDIA-A100-SXM4-40GB,brax,000040960,0,1,1,358569.24,0.1%,0.6%,10390,358569.24,1.00
NVIDIA-A100-SXM4-40GB,brax,000043008,0,1,1,358388.85,0.1%,0.4%,10390,358388.85,1.00
NVIDIA-A100-SXM4-40GB,brax,000046848,0,1,1,358545.93,0.1%,0.3%,18582,358545.93,1.00
NVIDIA-A100-SXM4-40GB,brax,000049152,0,1,1,358519.26,0.1%,0.2%,18582,358519.26,1.00
NVIDIA-A100-SXM4-40GB,brax,000050688,0,1,1,358419.92,0.1%,0.2%,19862,358419.92,1.00
NVIDIA-A100-SXM4-40GB,brax,000055296,0,1,1,359157.45,0.1%,0.3%,19862,359157.45,1.00
NVIDIA-A100-SXM4-40GB,brax,000057344,0,1,1,359316.73,0.1%,0.4%,19862,359316.73,1.00
NVIDIA-A100-SXM4-40GB,brax,000058368,0,1,1,358427.70,0.1%,0.4%,19862,358427.70,1.00
NVIDIA-A100-SXM4-40GB,brax,000059136,0,1,1,359133.51,0.1%,0.4%,19862,359133.51,1.00
NVIDIA-A100-SXM4-40GB,brax,000061440,0,1,1,359149.69,0.1%,0.3%,19862,359149.69,1.00
NVIDIA-A100-SXM4-40GB,brax,000062464,0,1,1,359452.34,0.1%,0.5%,19862,359452.34,1.00
NVIDIA-A100-SXM4-40GB,brax,000065536,0,1,1,358329.68,0.1%,0.3%,19862,358329.68,1.00
NVIDIA-A100-SXM4-40GB,brax,000067584,0,1,1,358741.27,0.1%,0.2%,19862,358741.27,1.00
NVIDIA-A100-SXM4-40GB,brax,000073728,0,1,1,359354.92,0.1%,0.3%,19862,359354.92,1.00
NVIDIA-A100-SXM4-40GB,brax,000008192,0,1,1,353093.40,0.0%,0.4%,3732,353093.40,1.00
NVIDIA-A100-SXM4-40GB,convnext_large-tf32-fp16,000000104,0,1,1,343.29,0.1%,0.5%,22526,343.29,3.00
NVIDIA-A100-SXM4-40GB,convnext_large-tf32-fp16,000000156,0,1,1,350.54,0.1%,0.3%,32548,350.54,3.00
NVIDIA-A100-SXM4-40GB,convnext_large-tf32-fp16,000000182,0,1,1,354.53,0.0%,0.3%,37628,354.53,3.00
NVIDIA-A100-SXM4-40GB,convnext_large-tf32-fp16,000000196,0,1,1,355.93,0.0%,0.2%,40188,355.93,3.00
NVIDIA-A100-SXM4-40GB,convnext_large-tf32-fp16,000000202,0,1,1,349.78,1.6%,8.7%,40188,349.78,3.00
NVIDIA-A100-SXM4-40GB,convnext_large-tf32-fp16,000000208,0,1,1,323.92,3.0%,16.0%,40818,323.92,3.00
NVIDIA-A100-SXM4-40GB,convnext_large-tf32-fp16,000000082,0,1,1,334.55,0.1%,0.4%,1044,334.55,3.00
NVIDIA-A100-SXM4-40GB,diffusion-gpus,000000010,0,1,4,80.95,0.7%,5.4%,30796,80.95,1.00
NVIDIA-A100-SXM4-40GB,diffusion-gpus,000000014,0,1,4,87.14,0.5%,3.4%,35726,87.14,1.00
NVIDIA-A100-SXM4-40GB,diffusion-gpus,000000016,0,1,4,90.78,0.4%,3.2%,38166,90.78,1.00
NVIDIA-A100-SXM4-40GB,diffusion-gpus,000000018,0,1,4,92.26,0.9%,7.1%,40646,92.26,1.00
NVIDIA-A100-SXM4-40GB,diffusion-gpus,000000002,0,1,4,35.58,1.0%,7.7%,23700,35.58,1.00
NVIDIA-A100-SXM4-40GB,diffusion-gpus,000000004,0,1,4,56.17,0.5%,3.8%,25420,56.17,1.00
NVIDIA-A100-SXM4-40GB,diffusion-gpus,000000006,0,1,4,66.02,1.1%,8.4%,26430,66.02,1.00
NVIDIA-A100-SXM4-40GB,diffusion-gpus,000000008,0,1,4,74.73,0.9%,6.9%,28318,74.73,1.00
NVIDIA-A100-SXM4-40GB,diffusion-single,000000010,0,1,1,21.98,0.3%,2.5%,26336,21.98,1.00
NVIDIA-A100-SXM4-40GB,diffusion-single,000000016,0,1,1,24.13,0.6%,4.6%,33630,24.13,1.00
NVIDIA-A100-SXM4-40GB,diffusion-single,000000018,0,1,1,24.63,0.1%,0.7%,36174,24.63,1.00
NVIDIA-A100-SXM4-40GB,diffusion-single,000000020,0,1,1,25.22,0.0%,0.3%,38594,25.22,1.00
NVIDIA-A100-SXM4-40GB,dimenet,000000144,0,1,1,842.24,1.1%,8.4%,19693,842.24,1.00
NVIDIA-A100-SXM4-40GB,dimenet,000000186,0,1,1,744.76,1.0%,7.8%,25910,744.76,1.00
NVIDIA-A100-SXM4-40GB,dimenet,000000048,0,1,1,758.91,1.5%,11.5%,11328,758.91,1.00
NVIDIA-A100-SXM4-40GB,dimenet,000000064,0,1,1,677.60,1.8%,13.5%,17488,677.60,1.00
NVIDIA-A100-SXM4-40GB,dimenet,000000070,0,1,1,733.08,1.1%,8.7%,13138,733.08,1.00
NVIDIA-A100-SXM4-40GB,dimenet,000000076,0,1,1,859.56,1.3%,10.2%,17330,859.56,1.00
NVIDIA-A100-SXM4-40GB,dimenet,000000078,0,1,1,767.01,1.1%,8.8%,8734,767.01,1.00
NVIDIA-A100-SXM4-40GB,dimenet,000000080,0,1,1,871.62,1.2%,9.5%,11634,871.62,1.00
NVIDIA-A100-SXM4-40GB,dimenet,000000084,0,1,1,726.52,1.4%,10.7%,18336,726.52,1.00
NVIDIA-A100-SXM4-40GB,dimenet,000000088,0,1,1,800.74,1.1%,8.8%,16696,800.74,1.00
NVIDIA-A100-SXM4-40GB,dimenet,000000090,0,1,1,929.42,1.0%,8.0%,15691,929.42,1.00
NVIDIA-A100-SXM4-40GB,dimenet,000000092,0,1,1,803.71,1.4%,10.8%,27948,803.71,1.00
NVIDIA-A100-SXM4-40GB,dimenet,000000094,0,1,1,825.95,1.0%,7.9%,13268,825.95,1.00
NVIDIA-A100-SXM4-40GB,dimenet,000000096,0,1,1,812.28,1.0%,7.6%,13688,812.28,1.00
NVIDIA-A100-SXM4-40GB,dinov2-giant-gpus,000000012,0,1,4,189.13,0.9%,7.0%,31542,189.13,1.00
NVIDIA-A100-SXM4-40GB,dinov2-giant-gpus,000000018,0,1,4,196.51,1.5%,11.7%,40766,196.51,1.00
NVIDIA-A100-SXM4-40GB,dinov2-giant-gpus,000000022,0,1,4,88.97,4.8%,37.9%,40944,88.97,1.00
NVIDIA-A100-SXM4-40GB,dinov2-giant-gpus,000000024,0,1,4,95.71,2.8%,21.9%,40936,95.71,1.00
NVIDIA-A100-SXM4-40GB,dinov2-giant-single,000000012,0,1,1,15.35,4.5%,36.0%,38222,15.35,1.00
NVIDIA-A100-SXM4-40GB,dinov2-giant-single,000000014,0,1,1,13.69,4.6%,36.3%,39354,13.69,1.00
NVIDIA-A100-SXM4-40GB,dinov2-giant-single,000000008,0,1,1,38.33,1.7%,13.3%,40424,38.33,1.00
NVIDIA-A100-SXM4-40GB,dqn,000112896,0,1,1,21356258192.98,3.2%,88.9%,nan,21356258192.98,1.00
NVIDIA-A100-SXM4-40GB,dqn,000114688,0,1,1,22027513740.87,3.2%,88.9%,nan,22027513740.87,1.00
NVIDIA-A100-SXM4-40GB,dqn,000120960,0,1,1,21822081823.91,3.2%,90.0%,31316,21822081823.91,1.00
NVIDIA-A100-SXM4-40GB,dqn,000122880,0,1,1,21211109496.08,3.2%,89.3%,nan,21211109496.08,1.00
NVIDIA-A100-SXM4-40GB,dqn,000124992,0,1,1,21798884036.47,3.2%,88.6%,nan,21798884036.47,1.00
NVIDIA-A100-SXM4-40GB,dqn,000126976,0,1,1,22003511960.01,3.2%,90.0%,31316,22003511960.01,1.00
NVIDIA-A100-SXM4-40GB,dqn,000129024,0,1,1,22167934692.00,3.2%,89.6%,31316,22167934692.00,1.00
