gpu,bench,batch_size,fail,n,ngpu,perf,sem%,std%,peak_memory,score,weight
NVIDIA-A100-SXM4-40GB,bert-tf32-fp16,000000090,1,1,1,nan,nan%,nan%,nan,nan,3.00
NVIDIA-A100-SXM4-40GB,bert-tf32-fp16,000000090,1,1,1,nan,nan%,nan%,nan,nan,3.00
NVIDIA-A100-SXM4-40GB,diffusion-single,000000022,1,1,1,nan,nan%,nan%,2992,nan,1.00
NVIDIA-A100-SXM4-40GB,diffusion-single,000000022,1,1,1,nan,nan%,nan%,nan,nan,1.00
NVIDIA-A100-SXM4-40GB,diffusion-single,000000022,1,1,1,nan,nan%,nan%,nan,nan,1.00
NVIDIA-A100-SXM4-40GB,diffusion-single,000000024,1,1,1,nan,nan%,nan%,1746,nan,1.00
NVIDIA-A100-SXM4-40GB,diffusion-single,000000024,1,1,1,nan,nan%,nan%,nan,nan,1.00
NVIDIA-A100-SXM4-40GB,diffusion-single,000000024,1,1,1,nan,nan%,nan%,nan,nan,1.00
NVIDIA-A100-SXM4-40GB,diffusion-single,000000032,1,1,1,nan,nan%,nan%,4482,nan,1.00
NVIDIA-A100-SXM4-40GB,diffusion-single,000000032,1,1,1,nan,nan%,nan%,nan,nan,1.00
NVIDIA-A100-SXM4-40GB,diffusion-single,000000032,1,1,1,nan,nan%,nan%,nan,nan,1.00
NVIDIA-A100-SXM4-40GB,diffusion-single,000000064,1,1,1,nan,nan%,nan%,nan,nan,1.00
NVIDIA-A100-SXM4-40GB,diffusion-single,000000064,1,1,1,nan,nan%,nan%,nan,nan,1.00
NVIDIA-A100-SXM4-40GB,diffusion-single,000000064,1,1,1,nan,nan%,nan%,nan,nan,1.00
NVIDIA-A100-SXM4-40GB,dimenet,000000144,1,1,1,nan,nan%,nan%,30000,nan,1.00
NVIDIA-A100-SXM4-40GB,dimenet,000000144,1,1,1,nan,nan%,nan%,nan,nan,1.00
NVIDIA-A100-SXM4-40GB,dimenet,000000168,1,1,1,nan,nan%,nan%,35108,nan,1.00
NVIDIA-A100-SXM4-40GB,dimenet,000000168,1,1,1,nan,nan%,nan%,29742,nan,1.00
NVIDIA-A100-SXM4-40GB,dimenet,000000168,1,1,1,nan,nan%,nan%,29263,nan,1.00
NVIDIA-A100-SXM4-40GB,dimenet,000000180,1,1,1,nan,nan%,nan%,31884,nan,1.00
NVIDIA-A100-SXM4-40GB,dimenet,000000180,1,1,1,nan,nan%,nan%,24354,nan,1.00
NVIDIA-A100-SXM4-40GB,dimenet,000000180,1,1,1,nan,nan%,nan%,nan,nan,1.00
NVIDIA-A100-SXM4-40GB,dimenet,000000186,1,1,1,nan,nan%,nan%,nan,nan,1.00
NVIDIA-A100-SXM4-40GB,dimenet,000000192,1,1,1,nan,nan%,nan%,33812,nan,1.00
NVIDIA-A100-SXM4-40GB,dimenet,000000192,1,1,1,nan,nan%,nan%,19038,nan,1.00
NVIDIA-A100-SXM4-40GB,dimenet,000000192,1,1,1,nan,nan%,nan%,33247,nan,1.00
NVIDIA-A100-SXM4-40GB,dimenet,000000048,1,1,1,nan,nan%,nan%,nan,nan,1.00
NVIDIA-A100-SXM4-40GB,dimenet,000000076,1,1,1,nan,nan%,nan%,5238,nan,1.00
NVIDIA-A100-SXM4-40GB,dimenet,000000080,1,1,1,nan,nan%,nan%,14678,nan,1.00
NVIDIA-A100-SXM4-40GB,dimenet,000000090,1,1,1,nan,nan%,nan%,13134,nan,1.00
NVIDIA-A100-SXM4-40GB,dimenet,000000090,1,1,1,nan,nan%,nan%,1144,nan,1.00
NVIDIA-A100-SXM4-40GB,dinov2-giant-single,000000016,1,1,1,nan,nan%,nan%,5358,nan,1.00
NVIDIA-A100-SXM4-40GB,dinov2-giant-single,000000016,1,1,1,nan,nan%,nan%,8232,nan,1.00
NVIDIA-A100-SXM4-40GB,dinov2-giant-single,000000016,1,1,1,nan,nan%,nan%,40844,nan,1.00
NVIDIA-A100-SXM4-40GB,dinov2-giant-single,000000032,1,1,1,nan,nan%,nan%,8156,nan,1.00
NVIDIA-A100-SXM4-40GB,dinov2-giant-single,000000032,1,1,1,nan,nan%,nan%,9286,nan,1.00
NVIDIA-A100-SXM4-40GB,dinov2-giant-single,000000032,1,1,1,nan,nan%,nan%,4043,nan,1.00
NVIDIA-A100-SXM4-40GB,dinov2-giant-single,000000064,1,1,1,nan,nan%,nan%,4696,nan,1.00
NVIDIA-A100-SXM4-40GB,dinov2-giant-single,000000064,1,1,1,nan,nan%,nan%,9014,nan,1.00
NVIDIA-A100-SXM4-40GB,dinov2-giant-single,000000064,1,1,1,nan,nan%,nan%,4115,nan,1.00
NVIDIA-A100-SXM4-40GB,lightning-gpus,000000440,1,1,4,nan,nan%,nan%,40936,nan,1.00
NVIDIA-A100-SXM4-40GB,lightning-gpus,000000440,1,1,4,nan,nan%,nan%,40936,nan,1.00
NVIDIA-A100-SXM4-40GB,lightning-gpus,000000440,1,1,4,nan,nan%,nan%,40901,nan,1.00
NVIDIA-A100-SXM4-40GB,lightning,000001024,1,1,1,nan,nan%,nan%,40456,nan,1.00
NVIDIA-A100-SXM4-40GB,lightning-gpus,000001024,1,1,1,nan,nan%,nan%,nan,nan,1.00
NVIDIA-A100-SXM4-40GB,lightning,000001024,1,1,1,nan,nan%,nan%,1096,nan,1.00
NVIDIA-A100-SXM4-40GB,lightning-gpus,000001024,1,1,1,nan,nan%,nan%,40460,nan,1.00
NVIDIA-A100-SXM4-40GB,lightning,000001024,1,1,1,nan,nan%,nan%,nan,nan,1.00
NVIDIA-A100-SXM4-40GB,lightning-gpus,000001024,1,1,1,nan,nan%,nan%,nan,nan,1.00
NVIDIA-A100-SXM4-40GB,lightning,000000440,1,1,1,nan,nan%,nan%,40048,nan,1.00
NVIDIA-A100-SXM4-40GB,lightning-gpus,000000440,1,1,1,nan,nan%,nan%,25214,nan,1.00
NVIDIA-A100-SXM4-40GB,lightning,000000440,1,1,1,nan,nan%,nan%,nan,nan,1.00
NVIDIA-A100-SXM4-40GB,lightning-gpus,000000440,1,1,1,nan,nan%,nan%,nan,nan,1.00
NVIDIA-A100-SXM4-40GB,lightning,000000448,1,1,1,nan,nan%,nan%,1096,nan,1.00
NVIDIA-A100-SXM4-40GB,lightning-gpus,000000448,1,1,1,nan,nan%,nan%,1576,nan,1.00
NVIDIA-A100-SXM4-40GB,lightning,000000448,1,1,1,nan,nan%,nan%,1360,nan,1.00
NVIDIA-A100-SXM4-40GB,lightning-gpus,000000448,1,1,1,nan,nan%,nan%,1096,nan,1.00
NVIDIA-A100-SXM4-40GB,lightning,000000448,1,1,1,nan,nan%,nan%,1633,nan,1.00
NVIDIA-A100-SXM4-40GB,lightning-gpus,000000448,1,1,1,nan,nan%,nan%,40941,nan,1.00
NVIDIA-A100-SXM4-40GB,lightning,000000512,1,1,1,nan,nan%,nan%,1848,nan,1.00
NVIDIA-A100-SXM4-40GB,lightning-gpus,000000512,1,1,1,nan,nan%,nan%,1354,nan,1.00
NVIDIA-A100-SXM4-40GB,lightning,000000512,1,1,1,nan,nan%,nan%,nan,nan,1.00
NVIDIA-A100-SXM4-40GB,lightning-gpus,000000512,1,1,1,nan,nan%,nan%,1374,nan,1.00
NVIDIA-A100-SXM4-40GB,lightning,000000512,1,1,1,nan,nan%,nan%,nan,nan,1.00
NVIDIA-A100-SXM4-40GB,lightning-gpus,000000512,1,1,1,nan,nan%,nan%,nan,nan,1.00
NVIDIA-A100-SXM4-40GB,llm-full-mp-gpus,000000001,1,1,4,nan,nan%,nan%,4324,nan,1.00
NVIDIA-A100-SXM4-40GB,llm-full-mp-gpus,000000001,1,1,4,nan,nan%,nan%,4296,nan,1.00
NVIDIA-A100-SXM4-40GB,llm-full-mp-gpus,000000001,1,1,4,nan,nan%,nan%,4294,nan,1.00
NVIDIA-A100-SXM4-40GB,llm-full-mp-gpus,000000016,1,1,4,nan,nan%,nan%,4240,nan,1.00
NVIDIA-A100-SXM4-40GB,llm-full-mp-gpus,000000016,1,1,4,nan,nan%,nan%,4314,nan,1.00
NVIDIA-A100-SXM4-40GB,llm-full-mp-gpus,000000016,1,1,4,nan,nan%,nan%,4061,nan,1.00
NVIDIA-A100-SXM4-40GB,llm-full-mp-gpus,000000002,1,1,4,nan,nan%,nan%,4316,nan,1.00
NVIDIA-A100-SXM4-40GB,llm-full-mp-gpus,000000002,1,1,4,nan,nan%,nan%,4316,nan,1.00
NVIDIA-A100-SXM4-40GB,llm-full-mp-gpus,000000002,1,1,4,nan,nan%,nan%,4242,nan,1.00
NVIDIA-A100-SXM4-40GB,llm-full-mp-gpus,000000032,1,1,4,nan,nan%,nan%,4268,nan,1.00
NVIDIA-A100-SXM4-40GB,llm-full-mp-gpus,000000032,1,1,4,nan,nan%,nan%,4264,nan,1.00
NVIDIA-A100-SXM4-40GB,llm-full-mp-gpus,000000032,1,1,4,nan,nan%,nan%,4061,nan,1.00
NVIDIA-A100-SXM4-40GB,llm-full-mp-gpus,000000004,1,1,4,nan,nan%,nan%,4294,nan,1.00
NVIDIA-A100-SXM4-40GB,llm-full-mp-gpus,000000004,1,1,4,nan,nan%,nan%,4304,nan,1.00
NVIDIA-A100-SXM4-40GB,llm-full-mp-gpus,000000004,1,1,4,nan,nan%,nan%,4037,nan,1.00
NVIDIA-A100-SXM4-40GB,llm-full-mp-gpus,000000008,1,1,4,nan,nan%,nan%,4318,nan,1.00
NVIDIA-A100-SXM4-40GB,llm-full-mp-gpus,000000008,1,1,4,nan,nan%,nan%,4286,nan,1.00
